Metric,ValidCount,Mean,Std,Min,Max
L1_BLEU4,291,0.010408768434447482,0.03333544114004267,0.0,0.39763536438352537
L2_Embedding_Cosine,291,0.45253101397623524,0.22287619116816687,-0.0700572899830423,1.0
L3_KHR,291,0.012113402061855672,0.01516293777057535,0.0,0.05
L3_Length_Sim,291,0.5184778518624841,0.26451273644041357,0.07692307692307687,1.0
L3_Punctuation_Sim,291,0.9965635738831615,0.05862103817605492,0.0,1.0
L3_Modal_Sim,291,0.9553264604810997,0.2069419707622063,0.0,1.0
L4_Tone,291,0.6879725085910654,0.2898745494417026,0.2,1.0
L4_Semantic,291,0.6326460481099657,0.2325263243751816,0.1,1.0
L4_Fidelity,291,0.6621993127147767,0.31885675326543467,0.2,1.0
L4_Win_Rate,291,0.6013745704467354,0.4904587935583316,0.0,1.0
L5_Drift,291,0.08631977214412856,0.027457831656487353,0.0,0.14200175045753807
L5_Adversarial_Drift,291,0.5028188556536536,0.2089848274995799,0.0,0.9373037219185439
L5_Style_Consistency,291,0.9044961786597321,0.12740272527934202,0.40824829046386296,1.0
